,country,year,sex,age,suicides_no,population,suicides.100k.pop,gdp_for_year,gdp_per_capita,generation,continent
131,Albania,1999,female,5-14 years,1,365200,0.27,3414760915,1127,Millenials,Europe
133,Albania,2000,male,25-34 years,17,232000,7.33,3632043908,1299,Generation X,Europe
134,Albania,2000,male,55-74 years,10,177400,5.64,3632043908,1299,Silent,Europe
135,Albania,2000,female,75+ years,2,37800,5.29,3632043908,1299,G.I. Generation,Europe
136,Albania,2000,male,75+ years,1,24900,4.02,3632043908,1299,G.I. Generation,Europe
137,Albania,2000,female,15-24 years,6,263900,2.27,3632043908,1299,Generation X,Europe
138,Albania,2000,male,15-24 years,5,240000,2.08,3632043908,1299,Generation X,Europe
139,Albania,2000,female,35-54 years,5,332200,1.51,3632043908,1299,Boomers,Europe
140,Albania,2000,female,25-34 years,3,245800,1.22,3632043908,1299,Generation X,Europe
141,Albania,2000,male,35-54 years,4,374700,1.07,3632043908,1299,Boomers,Europe
142,Albania,2000,male,5-14 years,1,374900,0.27,3632043908,1299,Millenials,Europe
145,Albania,2001,male,25-34 years,22,206484,10.65,4060758804,1451,Generation X,Europe
146,Albania,2001,male,35-54 years,34,378826,8.98,4060758804,1451,Boomers,Europe
147,Albania,2001,male,55-74 years,11,196670,5.59,4060758804,1451,Silent,Europe
148,Albania,2001,female,75+ years,2,47254,4.23,4060758804,1451,Silent,Europe
149,Albania,2001,male,15-24 years,10,256039,3.91,4060758804,1451,Millenials,Europe
150,Albania,2001,female,15-24 years,9,271359,3.32,4060758804,1451,Millenials,Europe
151,Albania,2001,female,35-54 years,12,370191,3.24,4060758804,1451,Boomers,Europe
152,Albania,2001,male,75+ years,1,31044,3.22,4060758804,1451,Silent,Europe
153,Albania,2001,female,55-74 years,6,189799,3.16,4060758804,1451,Silent,Europe
154,Albania,2001,male,5-14 years,6,321556,1.87,4060758804,1451,Millenials,Europe
155,Albania,2001,female,25-34 years,4,222771,1.8,4060758804,1451,Generation X,Europe
156,Albania,2001,female,5-14 years,2,307356,0.65,4060758804,1451,Millenials,Europe
157,Albania,2002,male,75+ years,4,31007,12.9,4435078648,1573,Silent,Europe
158,Albania,2002,male,25-34 years,23,206286,11.15,4435078648,1573,Generation X,Europe
159,Albania,2002,male,35-54 years,35,382139,9.16,4435078648,1573,Boomers,Europe
160,Albania,2002,male,55-74 years,13,198130,6.56,4435078648,1573,Silent,Europe
161,Albania,2002,male,15-24 years,15,263067,5.7,4435078648,1573,Millenials,Europe
162,Albania,2002,female,15-24 years,14,275970,5.07,4435078648,1573,Millenials,Europe
163,Albania,2002,female,35-54 years,15,375113,4,4435078648,1573,Boomers,Europe
164,Albania,2002,female,25-34 years,7,223685,3.13,4435078648,1573,Generation X,Europe
165,Albania,2002,female,75+ years,1,47407,2.11,4435078648,1573,Silent,Europe
166,Albania,2002,female,55-74 years,4,191712,2.09,4435078648,1573,Silent,Europe
167,Albania,2002,female,5-14 years,1,304850,0.33,4435078648,1573,Millenials,Europe
168,Albania,2002,male,5-14 years,1,319473,0.31,4435078648,1573,Millenials,Europe
169,Albania,2003,female,75+ years,6,49088,12.22,5746945913,2021,Silent,Europe
170,Albania,2003,male,55-74 years,16,201520,7.94,5746945913,2021,Silent,Europe
171,Albania,2003,male,35-54 years,28,386196,7.25,5746945913,2021,Boomers,Europe
172,Albania,2003,male,15-24 years,15,273235,5.49,5746945913,2021,Millenials,Europe
173,Albania,2003,female,15-24 years,14,283709,4.93,5746945913,2021,Millenials,Europe
174,Albania,2003,female,55-74 years,9,195699,4.6,5746945913,2021,Silent,Europe
175,Albania,2003,male,25-34 years,9,205433,4.38,5746945913,2021,Generation X,Europe
176,Albania,2003,female,25-34 years,9,222941,4.04,5746945913,2021,Generation X,Europe
177,Albania,2003,female,35-54 years,13,381760,3.41,5746945913,2021,Boomers,Europe
178,Albania,2003,male,75+ years,1,32667,3.06,5746945913,2021,Silent,Europe
179,Albania,2003,male,5-14 years,4,313204,1.28,5746945913,2021,Millenials,Europe
181,Albania,2004,male,75+ years,4,35526,11.26,7314865176,2544,Silent,Europe
182,Albania,2004,male,35-54 years,39,391767,9.95,7314865176,2544,Boomers,Europe
183,Albania,2004,male,25-34 years,16,203938,7.85,7314865176,2544,Generation X,Europe
184,Albania,2004,female,15-24 years,20,292268,6.84,7314865176,2544,Millenials,Europe
185,Albania,2004,male,15-24 years,19,286768,6.63,7314865176,2544,Millenials,Europe
186,Albania,2004,female,75+ years,3,50970,5.89,7314865176,2544,Silent,Europe
187,Albania,2004,female,25-34 years,11,222389,4.95,7314865176,2544,Generation X,Europe
188,Albania,2004,male,55-74 years,10,207202,4.83,7314865176,2544,Silent,Europe
189,Albania,2004,female,35-54 years,17,391436,4.34,7314865176,2544,Boomers,Europe
190,Albania,2004,female,55-74 years,3,203841,1.47,7314865176,2544,Silent,Europe
191,Albania,2004,female,5-14 years,3,286705,1.05,7314865176,2544,Millenials,Europe
192,Albania,2004,male,5-14 years,1,302181,0.33,7314865176,2544,Millenials,Europe
217,Albania,2007,male,75+ years,8,42366,18.88,10701011897,3863,Silent,Europe
218,Albania,2007,male,35-54 years,29,378626,7.66,10701011897,3863,Boomers,Europe
219,Albania,2007,male,55-74 years,14,224160,6.25,10701011897,3863,Silent,Europe
220,Albania,2007,female,75+ years,3,57404,5.23,10701011897,3863,Silent,Europe
221,Albania,2007,male,25-34 years,9,172494,5.22,10701011897,3863,Generation X,Europe
222,Albania,2007,female,15-24 years,13,281080,4.63,10701011897,3863,Millenials,Europe
223,Albania,2007,male,15-24 years,13,288349,4.51,10701011897,3863,Millenials,Europe
224,Albania,2007,female,25-34 years,8,183629,4.36,10701011897,3863,Generation X,Europe
225,Albania,2007,female,55-74 years,9,221120,4.07,10701011897,3863,Silent,Europe
226,Albania,2007,female,35-54 years,14,391811,3.57,10701011897,3863,Boomers,Europe
227,Albania,2007,male,5-14 years,4,272497,1.47,10701011897,3863,Generation Z,Europe
229,Albania,2008,male,25-34 years,21,172855,12.15,12881352688,4672,Generation X,Europe
230,Albania,2008,male,35-54 years,37,377119,9.81,12881352688,4672,Boomers,Europe
231,Albania,2008,male,55-74 years,21,228672,9.18,12881352688,4672,Silent,Europe
232,Albania,2008,female,75+ years,5,59369,8.42,12881352688,4672,Silent,Europe
233,Albania,2008,female,15-24 years,20,276073,7.24,12881352688,4672,Millenials,Europe
234,Albania,2008,female,25-34 years,9,182663,4.93,12881352688,4672,Generation X,Europe
235,Albania,2008,female,35-54 years,19,393832,4.82,12881352688,4672,Boomers,Europe
236,Albania,2008,male,75+ years,2,44574,4.49,12881352688,4672,Silent,Europe
237,Albania,2008,male,15-24 years,11,286702,3.84,12881352688,4672,Millenials,Europe
238,Albania,2008,female,55-74 years,7,226448,3.09,12881352688,4672,Silent,Europe
239,Albania,2008,male,5-14 years,7,262464,2.67,12881352688,4672,Generation Z,Europe
240,Albania,2008,female,5-14 years,1,246288,0.41,12881352688,4672,Generation Z,Europe
253,Albania,2010,male,55-74 years,20,241852,8.27,11926953259,4359,Silent,Europe
254,Albania,2010,male,35-54 years,20,371611,5.38,11926953259,4359,Generation X,Europe
255,Albania,2010,male,25-34 years,9,179720,5.01,11926953259,4359,Generation X,Europe
256,Albania,2010,male,75+ years,2,50767,3.94,11926953259,4359,Silent,Europe
257,Albania,2010,male,15-24 years,10,279508,3.58,11926953259,4359,Millenials,Europe
258,Albania,2010,female,25-34 years,6,183579,3.27,11926953259,4359,Generation X,Europe
259,Albania,2010,female,75+ years,2,64415,3.1,11926953259,4359,Silent,Europe
260,Albania,2010,female,35-54 years,12,394593,3.04,11926953259,4359,Generation X,Europe
261,Albania,2010,female,55-74 years,7,241491,2.9,11926953259,4359,Silent,Europe
262,Albania,2010,female,15-24 years,6,263581,2.28,11926953259,4359,Millenials,Europe
263,Albania,2010,female,5-14 years,2,223969,0.89,11926953259,4359,Generation Z,Europe
325,Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,459469074,7744,Silent,Americas
361,Antigua and Barbuda,1993,male,25-34 years,1,6668,15,535172778,8453,Boomers,Americas
421,Antigua and Barbuda,2000,male,55-74 years,1,3333,30,830158778,11021,Silent,Americas
422,Antigua and Barbuda,2000,male,35-54 years,1,10033,9.97,830158778,11021,Boomers,Americas
433,Antigua and Barbuda,2001,male,35-54 years,2,10281,19.45,800740259,10468,Boomers,Americas
457,Antigua and Barbuda,2003,male,55-74 years,1,3594,27.82,855643111,10878,Silent,Americas
469,Antigua and Barbuda,2004,male,55-74 years,1,3665,27.29,919577148,11535,Silent,Americas
470,Antigua and Barbuda,2004,male,35-54 years,1,11406,8.77,919577148,11535,Boomers,Americas
505,Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,1311401333,15775,Boomers,Americas
577,Antigua and Barbuda,2015,female,55-74 years,1,6403,15.62,1364863037,14853,Boomers,Americas
589,Argentina,1985,male,75+ years,202,363000,55.65,88416668900,3264,G.I. Generation,Americas
590,Argentina,1985,male,55-74 years,485,1997000,24.29,88416668900,3264,G.I. Generation,Americas
591,Argentina,1985,male,35-54 years,414,3346300,12.37,88416668900,3264,Silent,Americas
592,Argentina,1985,female,55-74 years,210,2304000,9.11,88416668900,3264,G.I. Generation,Americas
593,Argentina,1985,male,25-34 years,177,2234200,7.92,88416668900,3264,Boomers,Americas
594,Argentina,1985,female,75+ years,41,537000,7.64,88416668900,3264,G.I. Generation,Americas
595,Argentina,1985,male,15-24 years,156,2415200,6.46,88416668900,3264,Generation X,Americas
596,Argentina,1985,female,35-54 years,142,3355300,4.23,88416668900,3264,Silent,Americas
597,Argentina,1985,female,25-34 years,65,2185200,2.97,88416668900,3264,Boomers,Americas
598,Argentina,1985,female,15-24 years,69,2354200,2.93,88416668900,3264,Generation X,Americas
599,Argentina,1985,male,5-14 years,16,3044200,0.53,88416668900,3264,Generation X,Americas
600,Argentina,1985,female,5-14 years,11,2955200,0.37,88416668900,3264,Generation X,Americas
601,Argentina,1986,male,75+ years,230,365000,63.01,1.11E+11,4072,G.I. Generation,Americas
602,Argentina,1986,male,55-74 years,530,2008300,26.39,1.11E+11,4072,G.I. Generation,Americas
603,Argentina,1986,male,35-54 years,478,3365200,14.2,1.11E+11,4072,Silent,Americas
604,Argentina,1986,male,25-34 years,209,2246900,9.3,1.11E+11,4072,Boomers,Americas
605,Argentina,1986,female,75+ years,48,540200,8.89,1.11E+11,4072,G.I. Generation,Americas
606,Argentina,1986,female,55-74 years,201,2317100,8.67,1.11E+11,4072,G.I. Generation,Americas
607,Argentina,1986,male,15-24 years,186,2428900,7.66,1.11E+11,4072,Generation X,Americas
608,Argentina,1986,female,35-54 years,188,3374300,5.57,1.11E+11,4072,Silent,Americas
609,Argentina,1986,female,25-34 years,96,2197600,4.37,1.11E+11,4072,Boomers,Americas
610,Argentina,1986,female,15-24 years,101,2367600,4.27,1.11E+11,4072,Generation X,Americas
611,Argentina,1986,male,5-14 years,10,3061400,0.33,1.11E+11,4072,Generation X,Americas
612,Argentina,1986,female,5-14 years,7,2971900,0.24,1.11E+11,4072,Generation X,Americas
613,Argentina,1987,male,75+ years,200,369800,54.08,1.11E+11,4026,G.I. Generation,Americas
614,Argentina,1987,male,55-74 years,532,2034500,26.15,1.11E+11,4026,G.I. Generation,Americas
615,Argentina,1987,male,35-54 years,482,3409100,14.14,1.11E+11,4026,Silent,Americas
616,Argentina,1987,female,75+ years,57,547000,10.42,1.11E+11,4026,G.I. Generation,Americas
617,Argentina,1987,female,55-74 years,224,2347300,9.54,1.11E+11,4026,G.I. Generation,Americas
618,Argentina,1987,male,25-34 years,192,2276200,8.44,1.11E+11,4026,Boomers,Americas
619,Argentina,1987,male,15-24 years,179,2460600,7.27,1.11E+11,4026,Generation X,Americas
620,Argentina,1987,female,35-54 years,209,3418300,6.11,1.11E+11,4026,Silent,Americas
621,Argentina,1987,female,25-34 years,89,2226200,4,1.11E+11,4026,Boomers,Americas
622,Argentina,1987,female,15-24 years,93,2398400,3.88,1.11E+11,4026,Generation X,Americas
623,Argentina,1987,male,5-14 years,15,3101300,0.48,1.11E+11,4026,Generation X,Americas
624,Argentina,1987,female,5-14 years,14,3010700,0.47,1.11E+11,4026,Generation X,Americas
625,Argentina,1988,male,75+ years,216,392000,55.1,1.26E+11,4458,G.I. Generation,Americas
626,Argentina,1988,male,55-74 years,550,2079000,26.46,1.26E+11,4458,G.I. Generation,Americas
627,Argentina,1988,male,35-54 years,477,3503000,13.62,1.26E+11,4458,Silent,Americas
628,Argentina,1988,female,75+ years,61,602000,10.13,1.26E+11,4458,G.I. Generation,Americas
629,Argentina,1988,female,55-74 years,233,2412000,9.66,1.26E+11,4458,G.I. Generation,Americas
630,Argentina,1988,male,25-34 years,215,2276000,9.45,1.26E+11,4458,Boomers,Americas
631,Argentina,1988,male,15-24 years,211,2524000,8.36,1.26E+11,4458,Generation X,Americas
632,Argentina,1988,female,35-54 years,198,3508000,5.64,1.26E+11,4458,Silent,Americas
633,Argentina,1988,female,15-24 years,101,2459000,4.11,1.26E+11,4458,Generation X,Americas
634,Argentina,1988,female,25-34 years,61,2228000,2.74,1.26E+11,4458,Boomers,Americas
635,Argentina,1988,male,5-14 years,20,3210000,0.62,1.26E+11,4458,Generation X,Americas
636,Argentina,1988,female,5-14 years,11,3115000,0.35,1.26E+11,4458,Generation X,Americas
637,Argentina,1989,male,75+ years,208,400000,52,76636898036,2670,G.I. Generation,Americas
638,Argentina,1989,male,55-74 years,548,2105000,26.03,76636898036,2670,G.I. Generation,Americas
639,Argentina,1989,male,35-54 years,462,3561000,12.97,76636898036,2670,Silent,Americas
640,Argentina,1989,female,75+ years,65,622000,10.45,76636898036,2670,G.I. Generation,Americas
641,Argentina,1989,male,25-34 years,219,2287000,9.58,76636898036,2670,Boomers,Americas
642,Argentina,1989,female,55-74 years,201,2446000,8.22,76636898036,2670,G.I. Generation,Americas
643,Argentina,1989,male,15-24 years,186,2575000,7.22,76636898036,2670,Generation X,Americas
644,Argentina,1989,female,35-54 years,166,3563000,4.66,76636898036,2670,Silent,Americas
645,Argentina,1989,female,25-34 years,83,2240000,3.71,76636898036,2670,Boomers,Americas
646,Argentina,1989,female,15-24 years,80,2509000,3.19,76636898036,2670,Generation X,Americas
647,Argentina,1989,male,5-14 years,18,3245000,0.55,76636898036,2670,Generation X,Americas
648,Argentina,1989,female,5-14 years,11,3149000,0.35,76636898036,2670,Generation X,Americas
649,Argentina,1990,male,75+ years,226,411100,54.97,1.41E+11,4859,G.I. Generation,Americas
650,Argentina,1990,male,55-74 years,502,2128000,23.59,1.41E+11,4859,G.I. Generation,Americas
651,Argentina,1990,male,35-54 years,439,3619000,12.13,1.41E+11,4859,Silent,Americas
652,Argentina,1990,female,75+ years,61,643000,9.49,1.41E+11,4859,G.I. Generation,Americas
653,Argentina,1990,male,25-34 years,182,2297000,7.92,1.41E+11,4859,Boomers,Americas
654,Argentina,1990,female,55-74 years,190,2477000,7.67,1.41E+11,4859,G.I. Generation,Americas
655,Argentina,1990,male,15-24 years,174,2635000,6.6,1.41E+11,4859,Generation X,Americas
656,Argentina,1990,female,35-54 years,163,3622000,4.5,1.41E+11,4859,Silent,Americas
657,Argentina,1990,female,15-24 years,91,2568000,3.54,1.41E+11,4859,Generation X,Americas
658,Argentina,1990,female,25-34 years,76,2251000,3.38,1.41E+11,4859,Boomers,Americas
659,Argentina,1990,male,5-14 years,22,3269000,0.67,1.41E+11,4859,Generation X,Americas
660,Argentina,1990,female,5-14 years,14,3171000,0.44,1.41E+11,4859,Generation X,Americas
661,Argentina,1991,male,75+ years,184,396000,46.46,1.90E+11,6404,G.I. Generation,Americas
662,Argentina,1991,male,55-74 years,449,2130000,21.08,1.90E+11,6404,Silent,Americas
663,Argentina,1991,male,35-54 years,398,3580000,11.12,1.90E+11,6404,Boomers,Americas
664,Argentina,1991,male,25-34 years,214,2277000,9.4,1.90E+11,6404,Boomers,Americas
665,Argentina,1991,female,75+ years,50,658000,7.6,1.90E+11,6404,G.I. Generation,Americas
666,Argentina,1991,female,55-74 years,169,2508000,6.74,1.90E+11,6404,Silent,Americas
667,Argentina,1991,male,15-24 years,179,2738000,6.54,1.90E+11,6404,Generation X,Americas
668,Argentina,1991,female,35-54 years,133,3691000,3.6,1.90E+11,6404,Boomers,Americas
669,Argentina,1991,female,25-34 years,77,2310000,3.33,1.90E+11,6404,Boomers,Americas
670,Argentina,1991,female,15-24 years,61,2689000,2.27,1.90E+11,6404,Generation X,Americas
671,Argentina,1991,male,5-14 years,28,3369000,0.83,1.90E+11,6404,Millenials,Americas
672,Argentina,1991,female,5-14 years,9,3277000,0.27,1.90E+11,6404,Millenials,Americas
673,Argentina,1992,male,75+ years,194,404900,47.91,2.29E+11,7615,G.I. Generation,Americas
674,Argentina,1992,male,55-74 years,500,2150500,23.25,2.29E+11,7615,Silent,Americas
675,Argentina,1992,male,35-54 years,488,3616600,13.49,2.29E+11,7615,Boomers,Americas
676,Argentina,1992,male,25-34 years,227,2306200,9.84,2.29E+11,7615,Boomers,Americas
677,Argentina,1992,male,15-24 years,249,2834100,8.79,2.29E+11,7615,Generation X,Americas
678,Argentina,1992,female,75+ years,46,678000,6.78,2.29E+11,7615,G.I. Generation,Americas
679,Argentina,1992,female,55-74 years,147,2538400,5.79,2.29E+11,7615,Silent,Americas
680,Argentina,1992,female,35-54 years,140,3755500,3.73,2.29E+11,7615,Boomers,Americas
681,Argentina,1992,female,25-34 years,79,2329100,3.39,2.29E+11,7615,Boomers,Americas
682,Argentina,1992,female,15-24 years,79,2783500,2.84,2.29E+11,7615,Generation X,Americas
683,Argentina,1992,male,5-14 years,22,3371800,0.65,2.29E+11,7615,Millenials,Americas
684,Argentina,1992,female,5-14 years,13,3276800,0.4,2.29E+11,7615,Millenials,Americas
685,Argentina,1993,male,75+ years,229,413600,55.37,2.37E+11,7768,G.I. Generation,Americas
686,Argentina,1993,male,55-74 years,520,2171500,23.95,2.37E+11,7768,Silent,Americas
687,Argentina,1993,male,35-54 years,495,3672300,13.48,2.37E+11,7768,Boomers,Americas
